NutsID,DICOFRE,region_name,year,edu_none,edu_basic,edu_secondary,edu_superior,labour_family,labour_holder,labour_spouse,labour_other_family,labour_non_family,labour_regular,labour_non_regular,labour_not_hired,production_eur,production_area
16B110204,110204,Santiago dos Velhos,2009,55,138,17,14,34,22,9,3,5,4,1,0,581147.0,1131.2
16B110204,110204,Santiago dos Velhos,2019,8,63,8,14,22,12,5,5,12,11,1,0,1087187.0,3259.7
16B110401,110401,Alguber,1999,163,292,29,10,121,77,28,17,16,2,13,1,1500816.0,3585.3
16B110401,110401,Alguber,2009,70,217,38,15,74,38,17,19,32,16,17,0,4880709.0,16178.4
16B110401,110401,Alguber,2019,7,94,20,8,34,23,5,6,61,33,22,6,4752874.0,17188.8
16B110407,110407,Peral,1999,96,320,45,13,122,81,19,21,97,41,55,0,3324563.0,3831.6
16B110407,110407,Peral,2009,51,182,26,24,86,54,20,12,158,34,123,1,6596680.0,6456.5
16B110407,110407,Peral,2019,16,147,38,23,52,36,13,3,180,57,93,30,5885480.0,6030.8
16B110409,110409,Vermelha,1999,131,323,31,21,115,71,22,21,82,26,55,1,3445462.0,3359.1
16B110409,110409,Vermelha,2009,40,180,27,13,70,46,12,13,87,10,77,1,4965453.0,7939.6
16B110409,110409,Vermelha,2019,24,159,26,21,56,42,8,7,76,23,44,8,3084783.0,5234.4
16B110410,110410,Vilar,1999,206,496,76,13,143,90,17,36,24,7,17,1,1421973.0,2214.1
16B110410,110410,Vilar,2009,43,210,27,9,75,54,10,12,38,14,24,0,1738651.0,3701.5
16B110410,110410,Vilar,2019,16,191,52,25,53,40,9,4,90,41,47,2,4623614.0,7046.8
16B110411,110411,UniÃ£o das freguesias do Cadaval e PÃªro Moniz,1999,169,409,65,33,172,123,25,25,93,44,48,1,3497476.0,2958.1
16B110411,110411,UniÃ£o das freguesias do Cadaval e PÃªro Moniz,2009,52,210,38,17,94,65,18,11,83,26,56,1,4179226.0,5284.4
16B110411,110411,UniÃ£o das freguesias do Cadaval e PÃªro Moniz,2019,33,190,78,39,67,43,11,13,174,78,85,11,5059097.0,5879.7
16B110412,110412,UniÃ£o das freguesias de Lamas e Cercal,1999,379,797,94,34,309,200,57,53,135,68,65,1,5626264.0,3880.0
16B110412,110412,UniÃ£o das freguesias de Lamas e Cercal,2009,91,496,76,28,111,71,21,18,73,22,50,1,5758081.0,5037.1
16B110412,110412,UniÃ£o das freguesias de Lamas e Cercal,2019,54,341,66,45,78,49,17,13,105,32,72,1,5039649.0,5540.3
16B110413,110413,UniÃ£o das freguesias de Painho e Figueiros,1999,198,442,73,18,143,87,35,22,51,3,47,1,2764056.0,3021.0
16B110413,110413,UniÃ£o das freguesias de Painho e Figueiros,2009,75,303,28,33,84,60,10,15,72,13,59,0,5565895.0,8707.6
16B110413,110413,UniÃ£o das freguesias de Painho e Figueiros,2019,46,257,49,36,99,61,24,14,107,33,68,6,4013216.0,5494.7
16B110803,110803,Moita dos Ferreiros,1999,320,571,71,16,300,171,70,60,100,38,60,3,4592368.0,3427.5
16B110803,110803,Moita dos Ferreiros,2009,72,263,46,18,143,91,36,16,60,35,24,1,6553888.0,6932.0
16B110803,110803,Moita dos Ferreiros,2019,45,284,89,52,96,66,20,10,93,67,14,13,7205899.0,7089.8
16B110805,110805,Reguengo Grande,1999,208,379,25,11,214,124,66,24,55,33,21,2,4679296.0,5872.9
16B110805,110805,Reguengo Grande,2009,45,183,16,3,101,61,28,12,44,23,20,0,4609360.0,8937.2
16B110805,110805,Reguengo Grande,2019,25,133,27,16,54,35,15,4,43,19,16,8,4552422.0,8945.4
16B110806,110806,Santa BÃ¡rbara,1999,173,270,31,9,162,110,29,24,16,4,11,1,1334753.0,3233.7
16B110806,110806,Santa BÃ¡rbara,2009,68,157,12,7,61,37,16,7,10,1,9,0,1384801.0,4018.9
16B110806,110806,Santa BÃ¡rbara,2019,40,139,18,4,104,63,32,10,6,3,2,1,1144447.0,4288.9
16B110808,110808,Vimeiro,1999,95,177,22,10,96,61,18,17,41,21,20,1,1566345.0,5211.9
16B110808,110808,Vimeiro,2009,43,127,7,0,51,38,8,5,19,9,10,0,1255145.0,5480.0
16B110808,110808,Vimeiro,2019,15,93,11,12,37,23,8,5,4,2,1,0,722885.0,3917.2
16B110810,110810,Ribamar,1999,99,169,21,3,81,51,22,8,4,0,4,0,644800.0,2978.3
16B110810,110810,Ribamar,2009,49,124,16,5,40,24,11,5,5,1,4,0,701253.0,3982.1
16B110810,110810,Ribamar,2019,6,74,9,4,22,16,3,3,4,3,1,0,583954.0,4913.4
16B110812,110812,UniÃ£o das freguesias de LourinhÃ£ e Atalaia,1999,580,1100,108,39,622,357,174,92,293,198,89,5,19355992.0,7901.7
16B110812,110812,UniÃ£o das freguesias de LourinhÃ£ e Atalaia,2009,258,821,95,40,414,266,99,50,212,176,34,2,26226637.0,12776.1
16B110812,110812,UniÃ£o das freguesias de LourinhÃ£ e Atalaia,2019,101,669,129,74,332,200,82,49,239,181,47,12,18462577.0,8371.1
16B110813,110813,UniÃ£o das freguesias de Miragaia e Marteleira,1999,380,556,73,15,341,210,81,51,203,144,55,3,14227442.0,12387.6
16B110813,110813,UniÃ£o das freguesias de Miragaia e Marteleira,2009,116,399,35,15,191,134,44,13,101,81,19,1,12659682.0,15073.0
16B110813,110813,UniÃ£o das freguesias de Miragaia e Marteleira,2019,52,302,55,28,160,99,51,11,123,98,23,2,8227243.0,9312.9
16B110814,110814,UniÃ£o das freguesias de SÃ£o Bartolomeu dos Galegos e Moledo,1999,199,364,18,6,264,137,75,51,39,22,16,1,3050780.0,4811.0
16B110814,110814,UniÃ£o das freguesias de SÃ£o Bartolomeu dos Galegos e Moledo,2009,51,190,14,8,99,65,29,5,43,22,21,0,4355498.0,8136.9
16B110814,110814,UniÃ£o das freguesias de SÃ£o Bartolomeu dos Galegos e Moledo,2019,18,157,30,7,74,51,17,6,47,42,4,1,3732898.0,9803.8
16B111201,111201,Santo Quintino,1999,306,484,81,34,242,149,65,29,67,32,33,2,3639305.0,2344.4
16B111201,111201,Santo Quintino,2009,87,348,50,32,123,79,26,19,48,13,34,1,3402495.0,2371.2
16B111201,111201,Santo Quintino,2019,42,245,77,45,82,47,23,12,60,52,6,2,4129526.0,4020.3
16B111202,111202,Sapataria,1999,327,467,37,18,257,145,70,41,33,24,7,1,2872466.0,2531.1
16B111202,111202,Sapataria,2009,87,184,33,14,90,52,28,9,30,24,5,1,2547875.0,3581.8
16B111202,111202,Sapataria,2019,27,233,36,16,140,65,45,30,47,39,6,2,2866722.0,2903.1
16B111203,111203,Sobral de Monte AgraÃ§o,1999,67,129,17,10,82,56,19,7,43,15,28,1,1830568.0,2625.7
16B111203,111203,Sobral de Monte AgraÃ§o,2009,32,82,12,7,29,18,7,5,23,10,13,1,1022723.0,2365.1
16B111203,111203,Sobral de Monte AgraÃ§o,2019,8,98,19,23,73,39,26,8,15,8,6,1,1048222.0,2396.9
16B111306,111306,Freiria,1999,245,465,38,25,262,142,73,47,55,12,41,1,1994346.0,2347.4
