NutsID,DICOFRE,region_name,year,edu_none,edu_basic,edu_secondary,edu_superior,labour_family,labour_holder,labour_spouse,labour_other_family,labour_non_family,labour_regular,labour_non_regular,labour_not_hired,production_eur,production_area
111160163,160163,UniÃ£o das freguesias de TÃ¡vora (Santa Maria e SÃ£o Vicente),2009,99,137,32,15,144,74,50,20,6,1,5,0,307071.0,1463.6
111160163,160163,UniÃ£o das freguesias de TÃ¡vora (Santa Maria e SÃ£o Vicente),2019,43,118,22,17,127,69,45,14,2,0,2,0,301108.0,1896.1
111160164,160164,"UniÃ£o das freguesias de Vilela, SÃ£o Cosme e SÃ£o DamiÃ£o e SÃ¡",1999,163,183,19,14,145,67,43,34,10,2,8,0,520512.0,1235.6
111160164,160164,"UniÃ£o das freguesias de Vilela, SÃ£o Cosme e SÃ£o DamiÃ£o e SÃ¡",2009,79,119,15,14,121,57,40,24,5,2,3,0,324707.0,1083.6
111160164,160164,"UniÃ£o das freguesias de Vilela, SÃ£o Cosme e SÃ£o DamiÃ£o e SÃ¡",2019,21,93,18,24,85,41,27,17,5,2,3,0,363645.0,1501.0
111160201,160201,Ã‚ncora,1999,36,54,7,2,34,17,7,10,6,4,2,0,134336.0,2656.4
111160201,160201,Ã‚ncora,2009,11,38,2,4,29,13,4,12,0,0,0,0,51541.0,484.5
111160201,160201,Ã‚ncora,2019,13,38,3,5,17,7,5,5,3,0,2,0,113801.0,4188.5
111160205,160205,Argela,1999,30,74,3,1,29,14,6,8,1,0,0,0,207273.0,3606.0
111160205,160205,Argela,2009,18,65,9,4,51,21,9,21,1,0,1,0,103636.0,243.6
111160205,160205,Argela,2019,3,18,3,5,7,4,1,2,0,0,0,0,38738.0,1151.9
111160209,160209,Dem,1999,113,133,10,3,73,32,13,29,2,1,1,0,235789.0,1955.8
111160209,160209,Dem,2009,54,61,9,6,61,31,12,18,2,1,1,0,92168.0,200.0
111160209,160209,Dem,2019,18,44,8,6,30,14,8,8,1,0,1,0,83602.0,544.6
111160211,160211,Lanhelas,1999,20,40,3,5,12,8,3,1,3,2,1,0,81030.0,3129.8
111160211,160211,Lanhelas,2009,3,20,4,4,13,6,3,4,0,0,0,0,33069.0,1979.0
111160211,160211,Lanhelas,2019,0,17,0,0,7,4,3,1,0,0,0,0,41874.0,351.9
111160214,160214,Riba de Ã‚ncora,1999,85,199,22,8,123,60,19,45,6,1,5,0,508055.0,4132.2
111160214,160214,Riba de Ã‚ncora,2009,36,93,17,9,80,41,14,25,1,0,0,0,1207195.0,18219.1
111160214,160214,Riba de Ã‚ncora,2019,26,83,12,8,55,30,14,12,9,7,2,1,281883.0,1712.3
111160215,160215,Seixas,1999,16,30,6,2,10,5,1,4,2,1,1,0,100634.0,3047.7
111160215,160215,Seixas,2009,4,10,2,2,6,3,1,2,4,4,0,0,40319.0,2284.4
111160215,160215,Seixas,2019,2,4,0,3,3,2,1,0,1,1,0,0,19784.0,2157.5
111160217,160217,Vila Praia de Ã‚ncora,1999,33,58,2,4,35,19,6,11,11,6,5,0,315255.0,8071.0
111160217,160217,Vila Praia de Ã‚ncora,2009,13,42,8,2,32,17,7,8,28,27,0,0,299309.0,3360.0
111160217,160217,Vila Praia de Ã‚ncora,2019,5,39,12,11,15,7,4,4,6,5,1,0,352450.0,911.2
111160218,160218,Vilar de Mouros,1999,29,102,13,21,29,15,6,8,13,9,3,0,850201.0,10794.8
111160218,160218,Vilar de Mouros,2009,8,46,10,9,33,18,11,5,12,7,5,0,335310.0,1328.2
111160218,160218,Vilar de Mouros,2019,3,25,7,13,7,3,3,1,4,2,2,0,103743.0,1471.5
111160220,160220,Vile,1999,20,36,5,0,20,11,3,7,1,0,1,0,115931.0,3659.4
111160220,160220,Vile,2009,3,22,4,2,13,8,3,3,4,4,0,0,78497.0,4912.2
111160220,160220,Vile,2019,6,29,11,7,27,11,7,9,43,36,7,0,1277146.0,26160.3
111160221,160221,"UniÃ£o das freguesias de Arga (Baixo, Cima e SÃ£o JoÃ£o)",1999,129,90,7,4,94,39,23,32,2,1,1,0,470027.0,360.9
