NutsID,DICOFRE,region_name,year,edu_none,edu_basic,edu_secondary,edu_superior,labour_family,labour_holder,labour_spouse,labour_other_family,labour_non_family,labour_regular,labour_non_regular,labour_not_hired,production_eur,production_area
150081410,81410,UniÃ£o das freguesias de ConceiÃ§Ã£o e Cabanas de Tavira,1999,302,401,52,31,190,111,51,28,56,29,26,1,2436902.0,1422.6
150081410,81410,UniÃ£o das freguesias de ConceiÃ§Ã£o e Cabanas de Tavira,2009,137,226,28,39,161,94,54,14,41,31,8,3,2124240.0,1484.0
150081410,81410,UniÃ£o das freguesias de ConceiÃ§Ã£o e Cabanas de Tavira,2019,53,180,41,33,75,43,22,10,253,166,41,46,6182214.0,5130.2
150081411,81411,UniÃ£o das freguesias de Luz de Tavira e Santo EstÃªvÃ£o,1999,462,842,157,93,298,169,91,38,170,106,61,3,6538921.0,2533.2
150081411,81411,UniÃ£o das freguesias de Luz de Tavira e Santo EstÃªvÃ£o,2009,176,518,98,97,273,153,79,41,124,51,50,23,5156710.0,2355.0
150081411,81411,UniÃ£o das freguesias de Luz de Tavira e Santo EstÃªvÃ£o,2019,79,419,112,85,186,110,51,25,455,223,69,164,20468321.0,8622.1
150081412,81412,UniÃ£o das freguesias de Tavira (Santa Maria e Santiago),1999,620,664,73,58,359,200,106,54,107,62,42,3,4323866.0,1314.2
150081412,81412,UniÃ£o das freguesias de Tavira (Santa Maria e Santiago),2009,267,506,77,60,330,193,101,37,110,81,15,14,3835657.0,1851.9
150081412,81412,UniÃ£o das freguesias de Tavira (Santa Maria e Santiago),2019,140,469,81,93,263,154,72,38,236,109,16,111,13371939.0,5101.5
150081501,81501,BarÃ£o de SÃ£o Miguel,1999,27,51,4,2,30,17,8,5,4,3,1,0,218262.0,482.0
150081501,81501,BarÃ£o de SÃ£o Miguel,2009,8,23,3,0,10,5,2,3,0,0,0,0,98892.0,502.4
150081501,81501,BarÃ£o de SÃ£o Miguel,2019,6,13,5,5,10,8,2,0,0,0,0,0,217886.0,2076.9
150081502,81502,Budens,1999,35,46,2,7,18,12,5,1,2,2,0,0,166792.0,675.7
150081502,81502,Budens,2009,8,34,11,4,17,11,4,3,5,3,1,0,252111.0,312.4
150081502,81502,Budens,2019,8,32,17,11,18,13,3,1,3,2,0,0,587311.0,658.5
150081504,81504,Sagres,1999,11,13,4,1,7,5,2,1,6,4,2,0,156378.0,235.4
150081504,81504,Sagres,2009,8,16,2,3,12,7,4,2,7,6,0,0,399969.0,269.9
150081504,81504,Sagres,2019,7,20,9,1,10,6,1,2,2,1,0,0,477153.0,565.2
150081506,81506,Vila do Bispo e Raposeira,1999,90,101,13,4,45,23,13,9,15,14,1,1,635426.0,533.4
150081506,81506,Vila do Bispo e Raposeira,2009,47,89,27,19,64,39,11,14,12,9,3,1,1171997.0,496.8
150081506,81506,Vila do Bispo e Raposeira,2019,34,108,36,22,55,38,9,8,12,9,1,2,2025760.0,525.2
150081601,81601,Vila Nova de Cacela,1999,219,292,27,23,111,66,29,16,39,23,15,1,2849374.0,1364.0
150081601,81601,Vila Nova de Cacela,2009,104,265,40,32,105,62,31,13,14,7,5,1,974307.0,902.8
150081601,81601,Vila Nova de Cacela,2019,83,206,53,52,90,48,22,20,257,208,23,25,7994345.0,4468.4
150081602,81602,Vila Real de Santo AntÃ³nio,1999,36,58,5,1,17,10,5,2,5,3,2,0,254879.0,5616.6
150081602,81602,Vila Real de Santo AntÃ³nio,2009,6,25,11,2,8,5,2,2,0,0,0,0,29629.0,301.8
150081602,81602,Vila Real de Santo AntÃ³nio,2019,1,19,3,2,8,5,2,1,2,1,1,0,207489.0,3020.2
150081603,81603,Monte Gordo,1999,15,25,4,1,10,6,3,1,2,0,1,0,202995.0,7160.3
150081603,81603,Monte Gordo,2009,5,10,4,3,4,3,1,1,3,2,1,0,48604.0,2360.6
150081603,81603,Monte Gordo,2019,1,3,0,2,3,1,2,0,0,0,0,0,9550.0,2405.5
